Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,-3.0972886,-3.0972886,True
0.0,0.1883942,0.1883942,False
0.0,0.41552863,0.41552863,True
0.0,-0.0062380945,-0.0062380945,True
0.0,0.006369167,0.006369167,True
0.0,-0.037374623,-0.037374623,True
0.0,-0.026729569,-0.026729569,True
0.0,-0.13611637,-0.13611637,True
0.0,-0.07746699,-0.07746699,True
0.0,-0.14872807,-0.14872807,True
0.0,-0.14780939,-0.14780939,True
0.0,-0.20993398,-0.20993398,True
0.0,-0.17983158,-0.17983158,True
1.0,-0.3295692,-0.3295692,True
0.0,-0.21239573,-0.21239573,True
0.0,-0.3685493,-0.3685493,True
0.0,-0.33937865,-0.33937865,True
0.0,-0.4297964,-0.4297964,True
0.0,-0.38036013,-0.38036013,True
0.0,-0.4802044,-0.4802044,True
0.0,-0.4405515,-0.4405515,True
1.0,-0.49115494,-0.49115494,True
0.0,-0.48115727,-0.48115727,True
1.0,-0.6364199,-0.6364199,True
0.0,-0.51192755,-0.51192755,True
0.0,-0.9272144,-0.9272144,True
0.0,-0.7183753,-0.7183753,True
0.0,-1.6161697,-1.6161697,True
1.0,-1.2058053,-1.2058053,True
0.0,0.21885522,0.21885522,True
