sensitive_attribute,session,score,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
H,5438,0,2.0,10.092980591162297,0.18745894014040546,12.752662792706108,11.010467517559206,14.335979531707892,9.018652499340506,2.0,11.520954710306007,0.7337369774336868,13.532233993690255,5.677255847197553,13.07674940283474,3.792965593546709,0.0,13.41807469519189,0.0,0.0,8.046653739950884,12.63362021928762,17.236791404609548,628.0,46.0,12.0,622.0
H,5438,0,12.0,10.092980591162297,0.9638605767158268,18.91773545521105,6.50651382149438,11.559541038377704,6.480163274482921,2.0,11.520954710306007,0.7938564668153807,11.736886417284708,6.48818606341388,13.079738195420846,4.603258930776611,0.0,13.41807469519189,0.0,0.0,10.243878317287102,12.637612236581054,17.236791404609548,915.0,57.0,45.0,2111.0
L,5438,0,12.0,10.092980591162297,0.6909815243028906,18.375288233446923,6.959926487945242,11.613927015062265,6.925027971426919,2.0,11.520954710306007,0.9821093848927752,15.068925397122927,4.866325630981223,13.074754390200491,2.982460077779064,0.0,13.41807469519189,0.0,0.0,9.432948101070773,12.635617223946802,17.236791404609548,1144.0,32.0,27.0,895.0
H,5438,0,13.0,10.092980591162297,0.6556668642188569,17.635165707317725,7.56290387479298,11.525752749519851,7.552936884425689,3.0,11.520954710306007,0.6327914007187796,10.75365415161712,6.437618882458778,12.812072874066029,5.181406247706839,0.0,13.41807469519189,0.0,0.0,9.432948101070773,12.635617223946802,17.236791404609548,1806.0,112.0,27.0,3706.0
H,5438,1,23.0,10.092980591162297,0.9949286534039548,19.336149596830307,6.359808965127442,10.472011301571351,6.447561010600831,2.0,11.520954710306007,1.4139483739413206,16.999333125034617,3.4800312698613327,13.07275738554131,1.5965905087208174,0.0,13.41807469519189,0.0,0.0,6.660359378830992,12.632620968704755,17.236791404609548,1587.0,15.0,5.0,1169.0
H,5438,0,6.0,10.092980591162297,0.4362328277905335,15.6852386220328,8.646284860214298,12.805773739716704,8.350522910493357,2.0,11.520954710306007,0.8462213815219815,14.259297794258515,5.312612733609642,13.07575214527232,3.4285348187340285,0.0,13.41807469519189,0.0,0.0,0.0,0.0,0.0,1162.0,40.0,0.0,513.0
H,5438,0,8.0,10.092980591162297,0.4813769819601414,15.474231165356256,8.66879549442146,12.557190398356536,8.347800535961037,2.0,11.520954710306007,0.7742360844919347,13.532233993690255,5.677255847197553,13.07674940283474,3.792965593546709,0.0,13.41807469519189,0.0,0.0,8.857583956167211,12.634618970868926,17.236791404609548,1316.0,42.0,19.0,514.0
L,5438,0,15.0,10.092980591162297,0.7723400186152123,17.539341671119526,7.53378538724612,11.458147045695084,7.498219993424198,2.0,11.520954710306007,0.6420501140378729,10.783139785865137,6.889527454338182,13.081728245336285,5.004175850109269,0.0,13.41807469519189,0.0,0.0,8.857583956167211,12.634618970868926,17.236791404609548,1614.0,73.0,22.0,1549.0
H,5438,0,18.0,10.092980591162297,0.7152288512622519,18.17273610568088,7.266142475287602,10.978194272444368,7.318720377101277,2.0,11.520954710306007,0.5954448912938431,12.279954846393093,6.2526199921011125,13.078742427414216,4.367905129574451,0.0,13.41807469519189,0.0,0.0,0.0,0.0,0.0,1962.0,52.0,0.0,4701.0
L,5438,0,9.0,10.092980591162297,0.544847491091292,16.951853035573734,7.926777077115934,12.142784185264814,7.808617014668122,2.0,11.520954710306007,0.7865361542569117,14.259297794258515,5.312612733609642,13.07575214527232,3.4285348187340285,0.0,13.41807469519189,0.0,0.0,9.432948101070773,12.635617223946802,17.236791404609548,1546.0,42.0,27.0,1026.0
H,5438,0,7.0,10.092980591162297,0.4769795301722901,16.507020275327832,8.045380187428322,12.656857062775517,7.700734831295715,3.0,11.520954710306007,0.6500608840541161,11.386703170121793,6.1872925965507655,12.810088746919176,4.931384989682428,1.0,13.41807469519189,0.2996001627458631,2.116065631296817,10.096596490750894,12.486576591007022,11.611731950270984,1008.0,108.0,88.0,1148.0
H,5438,0,12.0,10.092980591162297,0.7900725101614925,18.466297602249853,6.923603325280495,11.589253748276734,6.896894412890727,3.0,11.520954710306007,0.8777954649442612,13.364693751177064,5.376362380334437,12.805119800263851,4.121217556371632,1.0,13.41807469519189,0.5984855939408072,5.033925695919876,7.498030522490373,12.478604482793354,10.315075210770784,1268.0,78.0,23.0,539.0
H,5438,0,6.0,10.092980591162297,0.3880652117168056,14.93182927627703,9.081471720087926,12.900693771684756,8.702740459979415,2.0,11.520954710306007,0.708665112088364,12.875717239081336,5.985557206852068,13.077746163383653,4.101054637319212,0.0,13.41807469519189,0.0,0.0,10.819242462190664,12.63960526116053,17.236791404609548,1367.0,49.0,54.0,499.0
H,5438,1,7.0,10.092980591162297,0.8091937836912734,18.419922533016084,6.5845747795494525,12.46780551626976,6.359331003045522,2.0,11.520954710306007,0.7614187572439024,13.532233993690255,5.677255847197553,13.07674940283474,3.792965593546709,0.0,13.41807469519189,0.0,0.0,8.046653739950884,12.63362021928762,17.236791404609548,555.0,54.0,8.0,625.0
H,5438,0,5.0,10.092980591162297,0.8146945841796891,18.382601267299187,6.089103509185723,13.002018813655214,5.639771700690991,2.0,11.520954710306007,0.5201354953668105,11.239817018569989,6.698907094729532,13.080733467897222,4.813767714859847,0.0,13.41807469519189,0.0,0.0,6.660359378830992,12.632620968704755,17.236791404609548,253.0,73.0,8.0,1076.0
H,5438,0,4.0,10.092980591162297,0.546137436978984,17.001650478201228,7.545381923298334,13.344058627025733,6.94336334607392,2.0,11.520954710306007,0.7901122831252241,13.532233993690255,5.677255847197553,13.07674940283474,3.792965593546709,0.0,13.41807469519189,0.0,0.0,0.0,0.0,0.0,441.0,38.0,0.0,7800.0
H,5438,0,13.0,10.092980591162297,0.7860123288338094,18.32633561861593,7.0569108458651995,11.474548515573428,7.047534032121749,2.0,11.520954710306007,0.7972780893414909,13.532233993690255,5.677255847197553,13.07674940283474,3.792965593546709,1.0,13.41807469519189,0.3711355464344381,3.7434554307732055,8.519681770022354,12.480600490943056,10.825243626487449,1383.0,44.0,41.0,669.0
L,5438,0,20.0,10.092980591162297,0.916380784936975,19.3882398573581,6.206562362322256,10.709838704872618,6.2713780809022825,2.0,11.520954710306007,0.5708447775231695,11.239817018569989,6.698907094729532,13.080733467897222,4.813767714859847,0.0,13.41807469519189,0.0,0.0,9.432948101070773,12.635617223946802,17.236791404609548,1360.0,77.0,23.0,562.0
H,5438,0,12.0,10.092980591162297,0.6298704241601369,17.57507743539012,7.596547798522919,11.650964632951464,7.569077573425409,2.0,11.520954710306007,0.4836952332035857,9.97274812081378,7.223635623664515,13.08371631707056,5.337859639316704,0.0,13.41807469519189,0.0,0.0,6.660359378830992,12.632620968704755,17.236791404609548,1756.0,107.0,6.0,725.0
H,5438,0,7.0,10.092980591162297,0.4769322105319818,16.66876596000835,8.072899506444571,12.54243498035765,7.847884646228815,2.0,11.520954710306007,0.4988630854939606,9.275649744104316,7.509837310945863,13.085702414552545,5.623637037911893,1.0,13.41807469519189,0.3286816844860639,2.703769572782172,9.459689028513823,12.483590773084956,11.294262252804762,1153.0,119.0,72.0,674.0
H,5438,0,11.0,10.092980591162297,1.067210059516335,19.732137187036873,5.385319034631191,11.660882454345849,5.334012361828135,2.0,11.520954710306007,0.9369562332012517,14.259297794258515,5.312612733609642,13.07575214527232,3.4285348187340285,0.0,13.41807469519189,0.0,0.0,11.456149924427734,12.642591079082596,17.236791404609548,500.0,38.0,91.0,751.0
H,5438,0,13.0,10.092980591162297,1.0701195006117232,19.630222200163622,5.6284761640146606,11.419573071267536,5.607416532135385,3.0,11.520954710306007,0.8245975689847457,14.370845967086366,4.930075277706017,12.803128759780847,3.6752356522265903,1.0,13.41807469519189,0.3711355464344381,3.7434554307732055,8.519681770022354,12.480600490943056,10.825243626487449,632.0,54.0,41.0,2232.0
H,5438,0,8.0,10.092980591162297,0.5183229800732034,16.337719331559036,8.291453244226105,12.384155171057362,8.105632469455646,2.0,11.520954710306007,0.6274424402192553,11.239817018569989,6.698907094729532,13.080733467897222,4.813767714859847,0.0,13.41807469519189,0.0,0.0,8.857583956167211,12.634618970868926,17.236791404609548,1433.0,71.0,16.0,572.0
L,5438,0,13.0,10.092980591162297,0.7268357998501427,17.89563987204128,7.382453691607528,11.50614474932661,7.372714468060023,2.0,11.520954710306007,0.8660085205972683,12.279954846393093,6.2526199921011125,13.078742427414216,4.367905129574451,0.0,13.41807469519189,0.0,0.0,8.857583956167211,12.634618970868926,17.236791404609548,1574.0,45.0,23.0,533.0
L,5438,0,15.0,10.092980591162297,0.8955870008417554,19.462753001038124,6.0157800967887125,11.180786048339524,6.031012819220443,2.0,11.520954710306007,0.8721344751454412,15.068925397122927,4.866325630981223,13.074754390200491,2.982460077779064,0.0,13.41807469519189,0.0,0.0,8.857583956167211,12.634618970868926,17.236791404609548,997.0,45.0,23.0,515.0
H,5438,0,15.0,10.092980591162297,0.6416082858924891,17.313744087010015,7.606411031225018,11.474406148512974,7.567900705225749,3.0,11.520954710306007,0.7961272410885858,12.914279525270915,5.566982739943086,12.80611457770291,4.311685335025752,0.0,13.41807469519189,0.0,0.0,10.552179676941618,12.638608997129968,17.236791404609548,1831.0,84.0,53.0,652.0
H,5438,0,8.0,10.092980591162297,0.4625205487383706,16.37369537422307,8.276659626659095,12.34623722273685,8.119290005499138,2.0,11.520954710306007,0.7083572689230471,12.875717239081336,5.985557206852068,13.077746163383653,4.101054637319212,1.0,13.41807469519189,0.2827547535708746,1.9731045665661815,10.270619244730153,12.487570873900976,11.698415531108315,1455.0,49.0,75.0,1456.0
L,5438,0,4.0,10.092980591162297,0.3015493264019257,14.170471153881511,9.511346136043988,13.436170799313436,8.906071698408734,2.0,11.520954710306007,0.9921796749060731,14.259297794258515,5.312612733609642,13.07575214527232,3.4285348187340285,0.0,13.41807469519189,0.0,0.0,10.819242462190664,12.63960526116053,17.236791404609548,983.0,42.0,60.0,857.0
H,5438,1,4.0,10.092980591162297,0.7096409907168589,18.002839618165382,6.292470311175787,13.317645917398512,5.691358950751058,2.0,11.520954710306007,0.7531995576104793,12.279954846393093,6.2526199921011125,13.078742427414216,4.367905129574451,0.0,13.41807469519189,0.0,0.0,8.857583956167211,12.634618970868926,17.236791404609548,239.0,63.0,23.0,820.0
H,5438,0,6.0,10.092980591162297,0.2726784055911864,14.269648176252954,9.424108686987175,12.934080515852964,9.044431054192204,2.0,11.520954710306007,0.5565819023068106,11.736886417284708,6.48818606341388,13.079738195420846,4.603258930776611,0.0,13.41807469519189,0.0,0.0,9.432948101070773,12.635617223946802,17.236791404609548,1653.0,59.0,29.0,616.0
H,3462,0,4.0,3.5361999441755514,0.14497564833448046,6.396529302079004,3.3298397866263434,5.882618890522559,3.3703065709931006,2.0,4.546379391506654,0.5560183162543105,6.528695784372674,1.4525843813753332,5.475970986171551,1.4902323750052069,0.0,6.690359454324059,0.0,0.0,0.0,0.0,0.0,891.0,77.0,0.0,989.0
