0,22268
1,95
2,22268
3,95
4,6538
5,95
6,95
7,95
8,95
9,95
10,95
11,95
12,95
13,12885
14,95
15,25793
16,95
17,95
18,95
19,95
20,74172
21,95
22,95
23,7775
24,95
25,12885
26,38879
27,15997
28,95
29,95
30,95
31,95
32,80079
33,95
34,79590
35,95
36,95
37,95
38,95
39,95
40,95
41,95
42,21982
43,46381
44,95
45,95
46,95
47,95
48,95
49,95
50,95
51,95
52,95
53,95
54,95
55,128604
56,95
57,95
58,95
59,95
60,95
61,95
62,63397
63,95
64,31512
65,95
66,95
67,95
68,95
69,95
70,60030
71,95
72,95
73,95
74,95
75,95
76,95
77,95
78,95
79,95
80,95
81,95
82,95
83,31512
84,95
85,95
86,95
87,95
88,6538
89,95
90,116019
91,95
92,95
93,30472
94,95
95,86754
96,95
97,95
98,95
99,10454
100,55188
101,95
102,95
103,95
104,95
105,95
106,95
107,95
108,106199
109,95
110,95
111,95
112,95
113,8338
114,95
115,95
116,4065
117,95
118,95
119,95
120,95
121,95
122,95
123,95
124,95
125,95
126,95
127,39175
128,95
129,95
130,13083
131,95
132,10454
133,95
134,95
135,95
136,95
137,95
138,95
139,95
140,95
141,95
142,95
143,95
144,95
145,95
146,33502
147,95
148,95
149,71326
150,13083
151,95
152,2730
153,24249
154,20970
155,95
156,95
157,95
158,5098
159,95
160,13170
161,95
162,95
163,95
164,95
165,95
166,95
167,95
168,95
169,95
170,95
171,95
172,95
173,95
174,95
175,95
176,95
177,95
178,95
179,95
180,95
181,95
182,95
183,95
184,95
185,95
186,5098
187,95
188,95
189,95
190,21982
191,95
192,95
193,95
194,95
195,95
196,95
197,95
198,95
199,95
200,95
201,95
202,95
203,95
204,31512
205,95
206,36172
207,95
208,10454
209,95
210,6538
211,95
212,95
213,95
214,95
215,95
216,95
217,95
218,95
219,95
220,95
221,95
222,2547
223,95
224,15819
225,95
226,95
227,95
228,20970
229,95
230,114159
231,95
232,95
233,95
234,95
235,31512
236,6538
237,16738
238,95
239,95
240,15572
241,95
242,95
243,95
244,95
245,95
246,95
247,95
248,95
249,95
250,95
251,95
252,95
253,95
254,31032
255,6538
256,95
257,78733
258,128050
259,10454
260,95
261,95
262,95
263,95
264,37475
265,7363
266,95
267,88610
268,95
269,6538
270,95
271,95
272,95
273,10454
274,95
275,47796
276,95
277,95
278,95
279,95
280,95
281,95
282,95
283,95
284,15838
285,95
286,95
287,95
288,95
289,95
290,4065
291,95
292,95
293,95
294,95
295,38920
296,95
297,8511
298,95
299,95
300,95
301,95
302,95
303,95
304,95
305,95
306,95
307,95
308,95
309,13170
310,95
311,95
312,43734
313,95
314,7775
315,95
316,95
317,27314
318,8511
319,10454
320,95
321,95
322,95
323,95
324,95
325,95
326,95
327,95
328,95
329,95
330,95
331,95
332,50315
333,95
334,95
335,95
336,95
337,95
338,64063
339,95
340,95
341,95
342,1323
343,95
344,95
345,39079
346,95
347,55188
348,95
349,95
350,95
351,95
