Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,0.22254214,0.22254214,False
0.0,0.13073997,0.13073997,True
0.0,0.059439257,0.059439257,False
0.0,0.0151550025,0.0151550025,True
0.0,-0.41076118,-0.41076118,False
0.0,-0.35375887,-0.35375887,False
0.0,-0.31062913,-0.31062913,True
0.0,-0.29475957,-0.29475957,False
0.0,-0.2828318,-0.2828318,True
1.0,-0.2823887,-0.2823887,False
0.0,-0.25728,-0.25728,False
1.0,-0.24309112,-0.24309112,False
0.0,-0.23431025,-0.23431025,False
0.0,-0.22917108,-0.22917108,False
1.0,-0.21697713,-0.21697713,True
1.0,-0.21014316,-0.21014316,False
1.0,-0.20359881,-0.20359881,True
0.0,-0.1851994,-0.1851994,False
1.0,-0.18284465,-0.18284465,True
0.0,-0.16695847,-0.16695847,False
0.0,-0.16508396,-0.16508396,False
0.0,-0.16379453,-0.16379453,False
0.0,-0.15962861,-0.15962861,False
0.0,-0.15940462,-0.15940462,True
1.0,-0.14868547,-0.14868547,True
0.0,-0.14488058,-0.14488058,False
0.0,-0.13559414,-0.13559414,False
0.0,-0.12905313,-0.12905313,False
0.0,-0.12082933,-0.12082933,False
1.0,-0.11549796,-0.11549796,True
1.0,-0.10252111,-0.10252111,True
0.0,-0.10102858,-0.10102858,False
1.0,-0.10043834,-0.10043834,True
0.0,-0.08849104,-0.08849104,False
0.0,-0.081936136,-0.081936136,False
1.0,-0.08097656,-0.08097656,True
0.0,-0.07949935,-0.07949935,False
1.0,-0.07114193,-0.07114193,True
0.0,-0.06499313,-0.06499313,False
1.0,-0.06343402,-0.06343402,False
0.0,-0.052970797,-0.052970797,True
1.0,-0.049968332,-0.049968332,True
0.0,-0.037254393,-0.037254393,False
0.0,-0.027746782,-0.027746782,False
