Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,0.14802009,0.14802009,True
0.0,0.09722416,0.09722416,True
1.0,0.06441394,0.06441394,True
0.0,0.058779076,0.058779076,True
1.0,0.04707393,0.04707393,True
0.0,0.03799525,0.03799525,True
0.0,0.026345342,0.026345342,True
0.0,-0.15396662,-0.15396662,True
0.0,-0.12572293,-0.12572293,False
0.0,-0.12411933,-0.12411933,False
0.0,-0.09786208,-0.09786208,True
0.0,-0.062142447,-0.062142447,True
0.0,-0.037247226,-0.037247226,True
0.0,-0.035573795,-0.035573795,True
0.0,-0.035567865,-0.035567865,True
0.0,-0.032504424,-0.032504424,False
0.0,-0.029455408,-0.029455408,False
0.0,-0.02109322,-0.02109322,True
0.0,-0.012926564,-0.012926564,False
0.0,-0.009506568,-0.009506568,False
