Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,-0.3864079,-0.3864079,False
0.0,-0.21155672,-0.21155672,False
1.0,-0.18789957,-0.18789957,False
0.0,-0.13527875,-0.13527875,False
0.0,-0.12597321,-0.12597321,False
0.0,-0.11939661,-0.11939661,True
0.0,-0.113065615,-0.113065615,False
0.0,-0.106793836,-0.106793836,True
0.0,-0.09414671,-0.09414671,False
0.0,-0.09001191,-0.09001191,False
1.0,-0.08833201,-0.08833201,False
0.0,-0.082091466,-0.082091466,False
0.0,-0.07744168,-0.07744168,False
0.0,-0.07471384,-0.07471384,False
0.0,-0.069688305,-0.069688305,False
0.0,-0.06241186,-0.06241186,False
0.0,-0.03149329,-0.03149329,False
0.0,-0.029514387,-0.029514387,False
0.0,-0.021942303,-0.021942303,False
0.0,-0.009263098,-0.009263098,False
