Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,0.13845499,0.13845499,True
0.0,-0.024275169,-0.024275169,False
0.0,-0.026710004,-0.026710004,False
0.0,-0.034175426,-0.034175426,False
0.0,-0.041030318,-0.041030318,False
0.0,-0.056248948,-0.056248948,True
1.0,-0.058551803,-0.058551803,True
0.0,-0.058822468,-0.058822468,False
0.0,-0.0648676,-0.0648676,False
0.0,-0.0723481,-0.0723481,False
0.0,-0.07850139,-0.07850139,False
0.0,-0.10196076,-0.10196076,False
0.0,-0.10401566,-0.10401566,True
0.0,-0.11231731,-0.11231731,False
1.0,-0.11378564,-0.11378564,False
0.0,-0.11530422,-0.11530422,True
0.0,-0.12411888,-0.12411888,True
0.0,-0.13095416,-0.13095416,False
0.0,-0.19539125,-0.19539125,False
0.0,-0.2156,-0.2156,False
