Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,0.07738564,0.07738564,True
0.0,0.06572435,0.06572435,True
0.0,0.042911813,0.042911813,True
0.0,0.023625284,0.023625284,True
0.0,-0.037702218,-0.037702218,True
1.0,-0.067101285,-0.067101285,True
0.0,-0.0799676,-0.0799676,True
0.0,-0.087404355,-0.087404355,True
0.0,0.016645446,0.016645446,False
0.0,-0.13628821,-0.13628821,True
0.0,0.09077808,0.09077808,False
0.0,-0.09515433,-0.09515433,False
0.0,-0.34660578,-0.34660578,True
0.0,-0.20371042,-0.20371042,False
0.0,-0.22674377,-0.22674377,False
1.0,-0.30574262,-0.30574262,True
0.0,-0.3126459,-0.3126459,True
0.0,-0.32449573,-0.32449573,True
0.0,-0.15684952,-0.15684952,False
